PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
293,0,2,male,36.0,0,0,0.025130326360472913,C
298,0,1,female,2.0,1,2,0.29580589980036276,S
308,1,1,female,17.0,1,0,0.2125586439344078,C
310,1,1,female,30.0,0,0,0.11111839809247648,C
311,1,1,female,24.0,0,0,0.16231419173453318,C
312,1,1,female,18.0,2,2,0.5121218935012878,C
319,1,1,female,31.0,0,2,0.32179836714362564,S
320,1,1,female,40.0,1,1,0.2625265161540666,C
326,1,1,female,36.0,0,0,0.2647385704347907,C
328,1,2,female,36.0,0,0,0.025374310111545468,S
330,1,1,female,16.0,0,1,0.11316786160148591,C
332,0,1,male,45.5,0,0,0.055628295244541985,S
333,0,1,male,38.0,0,1,0.2995388511917728,S
338,1,1,female,41.0,0,0,0.2625265161540666,C
340,0,1,male,45.0,0,0,0.06929138530460494,S
346,1,2,female,24.0,0,0,0.025374310111545468,S
357,1,1,female,22.0,0,1,0.10735285047192313,S
367,1,1,female,60.0,1,0,0.14687821814567664,C
370,1,1,female,24.0,0,0,0.13526459159462315,C
371,1,1,male,25.0,1,0,0.1082149914547131,C
378,0,1,male,27.0,0,2,0.41282050681475896,C
391,1,1,male,36.0,1,2,0.23422440102965048,S
430,1,3,male,32.0,0,0,0.015712553569072387,S
431,1,1,male,28.0,0,0,0.051822148727810165,S
435,0,1,male,50.0,1,0,0.1091095334796455,S
446,1,1,male,4.0,0,2,0.15977676072337862,S
450,1,1,male,52.0,0,0,0.05953203526170282,S
453,0,1,male,30.0,0,0,0.05416439273810667,C
454,1,1,male,49.0,1,0,0.17391981561855152,C
457,0,1,male,65.0,0,0,0.051822148727810165,S
461,1,1,male,48.0,0,0,0.051822148727810165,S
463,0,1,male,47.0,0,0,0.07514699533034619,S
474,1,2,female,23.0,0,0,0.026919605597338588,C
488,0,1,male,58.0,0,0,0.057970539254838485,C
493,0,1,male,55.0,0,0,0.05953203526170282,S
497,1,1,female,54.0,1,0,0.1527664244005612,C
505,1,1,female,16.0,0,0,0.16883675574220638,S
513,1,1,male,36.0,0,0,0.05130978285055781,S
516,0,1,male,47.0,0,0,0.06640417918791278,S
517,1,2,female,34.0,0,0,0.020494635090094415,S
521,1,1,female,30.0,0,0,0.18249984580226933,S
537,0,1,male,45.0,0,0,0.051822148727810165,S
540,1,1,female,22.0,0,2,0.09661756542473082,C
541,1,1,female,36.0,0,2,0.13858277060920987,S
545,0,1,male,50.0,1,0,0.20772776566317125,C
551,1,1,male,17.0,0,2,0.21642978772242535,C
557,1,1,female,48.0,1,0,0.07729405233978466,C
572,1,1,female,53.0,2,0,0.10048070654571319,S
573,1,1,male,36.0,0,0,0.051504969851415845,S
582,1,1,female,39.0,1,1,0.21642978772242535,C
584,0,1,male,36.0,0,0,0.07831878409428937,C
586,1,1,female,18.0,0,2,0.1554664461834305,S
588,1,1,male,60.0,1,1,0.15458810467956932,C
600,1,1,male,49.0,1,0,0.11111839809247648,C
622,1,1,male,42.0,1,0,0.10257896680493714,S
626,0,1,male,61.0,0,0,0.06308600017332605,S
628,1,1,female,21.0,0,0,0.15216446768991498,S
631,1,1,male,80.0,0,0,0.05855610025741262,S
633,1,1,male,32.0,0,0,0.05953203526170282,C
648,1,1,male,56.0,0,0,0.06929138530460494,C
660,0,1,male,58.0,0,2,0.22109807522194713,C
663,0,1,male,47.0,0,0,0.04994347384455151,S
672,0,1,male,31.0,1,0,0.10149724044618187,S
680,1,1,male,36.0,0,1,1.0,C
682,1,1,male,27.0,0,0,0.1497654242623688,C
690,1,1,female,15.0,0,1,0.41250332793836464,S
691,1,1,male,31.0,1,0,0.11125659048908397,S
700,0,3,male,42.0,0,0,0.014931805565640218,S
701,1,1,female,18.0,1,0,0.4440992237022602,C
702,1,1,male,35.0,0,0,0.05130978285055781,S
708,1,1,male,42.0,0,0,0.05130978285055781,S
711,1,1,female,24.0,0,0,0.09662576327876685,C
713,1,1,male,48.0,1,0,0.10149724044618187,S
716,0,3,male,19.0,0,0,0.014931805565640218,S
717,1,1,female,38.0,0,0,0.4440992237022602,C
718,1,2,female,27.0,0,0,0.020494635090094415,S
725,1,1,male,27.0,1,0,0.10364429745562033,S
738,1,1,male,35.0,0,0,1.0,C
742,0,1,male,36.0,1,0,0.15390495017656614,S
749,0,1,male,19.0,1,0,0.10364429745562033,S
752,1,3,male,6.0,0,1,0.024349578357040744,S
766,1,1,female,51.0,1,0,0.15216446768991498,S
773,0,2,female,57.0,0,0,0.020494635090094415,S
780,1,1,female,43.0,0,1,0.41250332793836464,S
783,0,1,male,29.0,0,0,0.05855610025741262,S
790,0,1,male,46.0,0,0,0.15458810467956932,C
797,1,1,female,49.0,0,0,0.050610427826483444,S
807,0,1,male,39.0,0,0,0.0,S
821,1,1,female,52.0,1,1,0.18249984580226933,S
836,1,1,female,39.0,1,1,0.16231419173453318,C
854,1,1,female,16.0,0,1,0.07690367833806856,S
858,1,1,male,51.0,0,0,0.051822148727810165,S
863,1,1,female,48.0,0,0,0.050610427826483444,S
868,0,1,male,31.0,0,0,0.09856123757927521,S
873,0,1,male,33.0,0,0,0.009759350042902102,S
880,1,1,female,56.0,0,1,0.16231419173453318,C
888,1,1,female,19.0,0,0,0.05855610025741262,S
890,1,1,male,26.0,0,0,0.05855610025741262,C
