antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'Sex'}),"frozenset({'Pclass', 'Survived'})",1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'Pclass'}),"frozenset({'Sex', 'Survived'})",1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'Survived'}),"frozenset({'Sex', 'Pclass'})",0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
"frozenset({'Age', 'Pclass'})",frozenset({'Survived'}),1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
"frozenset({'Age', 'Survived'})",frozenset({'Pclass'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
"frozenset({'Pclass', 'Survived'})",frozenset({'Age'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
frozenset({'Age'}),"frozenset({'Pclass', 'Survived'})",1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'Pclass'}),"frozenset({'Age', 'Survived'})",1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'Survived'}),"frozenset({'Age', 'Pclass'})",0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
"frozenset({'SibSp', 'Pclass'})",frozenset({'Survived'}),0.2986111111111111,0.6458333333333334,0.2222222222222222,0.7441860465116279,1.1522880720180044,0.029369212962962937,1.3844696969696968
"frozenset({'SibSp', 'Survived'})",frozenset({'Pclass'}),0.2222222222222222,1.0,0.2222222222222222,1.0,1.0,0.0,inf
frozenset({'SibSp'}),"frozenset({'Pclass', 'Survived'})",0.2986111111111111,0.6458333333333334,0.2222222222222222,0.7441860465116279,1.1522880720180044,0.029369212962962937,1.3844696969696968
"frozenset({'Parch', 'Pclass'})",frozenset({'Survived'}),0.2708333333333333,0.6458333333333334,0.1875,0.6923076923076924,1.0719602977667495,0.012586805555555552,1.151041666666667
"frozenset({'Parch', 'Survived'})",frozenset({'Pclass'}),0.1875,1.0,0.1875,1.0,1.0,0.0,inf
frozenset({'Parch'}),"frozenset({'Pclass', 'Survived'})",0.2708333333333333,0.6458333333333334,0.1875,0.6923076923076924,1.0719602977667495,0.012586805555555552,1.151041666666667
"frozenset({'Fare', 'Pclass'})",frozenset({'Survived'}),0.9861111111111112,0.6458333333333334,0.6458333333333334,0.6549295774647887,1.0140845070422535,0.00896990740740733,1.026360544217687
"frozenset({'Fare', 'Survived'})",frozenset({'Pclass'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
"frozenset({'Pclass', 'Survived'})",frozenset({'Fare'}),0.6458333333333334,0.9861111111111112,0.6458333333333334,1.0,1.0140845070422535,0.00896990740740733,inf
frozenset({'Fare'}),"frozenset({'Pclass', 'Survived'})",0.9861111111111112,0.6458333333333334,0.6458333333333334,0.6549295774647887,1.0140845070422535,0.00896990740740733,1.026360544217687
frozenset({'Pclass'}),"frozenset({'Fare', 'Survived'})",1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'Survived'}),"frozenset({'Fare', 'Pclass'})",0.6458333333333334,0.9861111111111112,0.6458333333333334,1.0,1.0140845070422535,0.00896990740740733,inf
"frozenset({'Embarked', 'Pclass'})",frozenset({'Survived'}),1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
"frozenset({'Embarked', 'Survived'})",frozenset({'Pclass'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
"frozenset({'Pclass', 'Survived'})",frozenset({'Embarked'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
frozenset({'Embarked'}),"frozenset({'Pclass', 'Survived'})",1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'Pclass'}),"frozenset({'Embarked', 'Survived'})",1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'Survived'}),"frozenset({'Embarked', 'Pclass'})",0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
"frozenset({'classification', 'Pclass'})",frozenset({'Survived'}),1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
"frozenset({'classification', 'Survived'})",frozenset({'Pclass'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
"frozenset({'Pclass', 'Survived'})",frozenset({'classification'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
frozenset({'classification'}),"frozenset({'Pclass', 'Survived'})",1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'Pclass'}),"frozenset({'classification', 'Survived'})",1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'Survived'}),"frozenset({'classification', 'Pclass'})",0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
"frozenset({'Sex', 'Age'})",frozenset({'Survived'}),1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
"frozenset({'Sex', 'Survived'})",frozenset({'Age'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
"frozenset({'Age', 'Survived'})",frozenset({'Sex'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
frozenset({'Sex'}),"frozenset({'Age', 'Survived'})",1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'Age'}),"frozenset({'Sex', 'Survived'})",1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'Survived'}),"frozenset({'Sex', 'Age'})",0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
"frozenset({'SibSp', 'Sex'})",frozenset({'Survived'}),0.2986111111111111,0.6458333333333334,0.2222222222222222,0.7441860465116279,1.1522880720180044,0.029369212962962937,1.3844696969696968
"frozenset({'SibSp', 'Survived'})",frozenset({'Sex'}),0.2222222222222222,1.0,0.2222222222222222,1.0,1.0,0.0,inf
frozenset({'SibSp'}),"frozenset({'Sex', 'Survived'})",0.2986111111111111,0.6458333333333334,0.2222222222222222,0.7441860465116279,1.1522880720180044,0.029369212962962937,1.3844696969696968
"frozenset({'Parch', 'Sex'})",frozenset({'Survived'}),0.2708333333333333,0.6458333333333334,0.1875,0.6923076923076924,1.0719602977667495,0.012586805555555552,1.151041666666667
"frozenset({'Parch', 'Survived'})",frozenset({'Sex'}),0.1875,1.0,0.1875,1.0,1.0,0.0,inf
frozenset({'Parch'}),"frozenset({'Sex', 'Survived'})",0.2708333333333333,0.6458333333333334,0.1875,0.6923076923076924,1.0719602977667495,0.012586805555555552,1.151041666666667
"frozenset({'Sex', 'Fare'})",frozenset({'Survived'}),0.9861111111111112,0.6458333333333334,0.6458333333333334,0.6549295774647887,1.0140845070422535,0.00896990740740733,1.026360544217687
"frozenset({'Sex', 'Survived'})",frozenset({'Fare'}),0.6458333333333334,0.9861111111111112,0.6458333333333334,1.0,1.0140845070422535,0.00896990740740733,inf
"frozenset({'Fare', 'Survived'})",frozenset({'Sex'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
frozenset({'Sex'}),"frozenset({'Fare', 'Survived'})",1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'Fare'}),"frozenset({'Sex', 'Survived'})",0.9861111111111112,0.6458333333333334,0.6458333333333334,0.6549295774647887,1.0140845070422535,0.00896990740740733,1.026360544217687
frozenset({'Survived'}),"frozenset({'Sex', 'Fare'})",0.6458333333333334,0.9861111111111112,0.6458333333333334,1.0,1.0140845070422535,0.00896990740740733,inf
"frozenset({'Embarked', 'Sex'})",frozenset({'Survived'}),1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
"frozenset({'Embarked', 'Survived'})",frozenset({'Sex'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
"frozenset({'Sex', 'Survived'})",frozenset({'Embarked'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
frozenset({'Embarked'}),"frozenset({'Sex', 'Survived'})",1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'Sex'}),"frozenset({'Embarked', 'Survived'})",1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'Survived'}),"frozenset({'Embarked', 'Sex'})",0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
"frozenset({'classification', 'Sex'})",frozenset({'Survived'}),1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
"frozenset({'classification', 'Survived'})",frozenset({'Sex'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
"frozenset({'Sex', 'Survived'})",frozenset({'classification'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
frozenset({'classification'}),"frozenset({'Sex', 'Survived'})",1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'Sex'}),"frozenset({'classification', 'Survived'})",1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'Survived'}),"frozenset({'classification', 'Sex'})",0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
"frozenset({'SibSp', 'Age'})",frozenset({'Survived'}),0.2986111111111111,0.6458333333333334,0.2222222222222222,0.7441860465116279,1.1522880720180044,0.029369212962962937,1.3844696969696968
"frozenset({'SibSp', 'Survived'})",frozenset({'Age'}),0.2222222222222222,1.0,0.2222222222222222,1.0,1.0,0.0,inf
frozenset({'SibSp'}),"frozenset({'Age', 'Survived'})",0.2986111111111111,0.6458333333333334,0.2222222222222222,0.7441860465116279,1.1522880720180044,0.029369212962962937,1.3844696969696968
"frozenset({'Parch', 'Age'})",frozenset({'Survived'}),0.2708333333333333,0.6458333333333334,0.1875,0.6923076923076924,1.0719602977667495,0.012586805555555552,1.151041666666667
"frozenset({'Parch', 'Survived'})",frozenset({'Age'}),0.1875,1.0,0.1875,1.0,1.0,0.0,inf
frozenset({'Parch'}),"frozenset({'Age', 'Survived'})",0.2708333333333333,0.6458333333333334,0.1875,0.6923076923076924,1.0719602977667495,0.012586805555555552,1.151041666666667
"frozenset({'Age', 'Fare'})",frozenset({'Survived'}),0.9861111111111112,0.6458333333333334,0.6458333333333334,0.6549295774647887,1.0140845070422535,0.00896990740740733,1.026360544217687
"frozenset({'Age', 'Survived'})",frozenset({'Fare'}),0.6458333333333334,0.9861111111111112,0.6458333333333334,1.0,1.0140845070422535,0.00896990740740733,inf
"frozenset({'Fare', 'Survived'})",frozenset({'Age'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
frozenset({'Age'}),"frozenset({'Fare', 'Survived'})",1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'Fare'}),"frozenset({'Age', 'Survived'})",0.9861111111111112,0.6458333333333334,0.6458333333333334,0.6549295774647887,1.0140845070422535,0.00896990740740733,1.026360544217687
frozenset({'Survived'}),"frozenset({'Age', 'Fare'})",0.6458333333333334,0.9861111111111112,0.6458333333333334,1.0,1.0140845070422535,0.00896990740740733,inf
"frozenset({'Embarked', 'Age'})",frozenset({'Survived'}),1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
"frozenset({'Embarked', 'Survived'})",frozenset({'Age'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
"frozenset({'Age', 'Survived'})",frozenset({'Embarked'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
frozenset({'Embarked'}),"frozenset({'Age', 'Survived'})",1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'Age'}),"frozenset({'Embarked', 'Survived'})",1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'Survived'}),"frozenset({'Embarked', 'Age'})",0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
"frozenset({'classification', 'Age'})",frozenset({'Survived'}),1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
"frozenset({'classification', 'Survived'})",frozenset({'Age'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
"frozenset({'Age', 'Survived'})",frozenset({'classification'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
frozenset({'classification'}),"frozenset({'Age', 'Survived'})",1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'Age'}),"frozenset({'classification', 'Survived'})",1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'Survived'}),"frozenset({'classification', 'Age'})",0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
"frozenset({'SibSp', 'Fare'})",frozenset({'Survived'}),0.2986111111111111,0.6458333333333334,0.2222222222222222,0.7441860465116279,1.1522880720180044,0.029369212962962937,1.3844696969696968
"frozenset({'SibSp', 'Survived'})",frozenset({'Fare'}),0.2222222222222222,0.9861111111111112,0.2222222222222222,1.0,1.0140845070422535,0.0030864197530864057,inf
frozenset({'SibSp'}),"frozenset({'Fare', 'Survived'})",0.2986111111111111,0.6458333333333334,0.2222222222222222,0.7441860465116279,1.1522880720180044,0.029369212962962937,1.3844696969696968
"frozenset({'SibSp', 'Embarked'})",frozenset({'Survived'}),0.2986111111111111,0.6458333333333334,0.2222222222222222,0.7441860465116279,1.1522880720180044,0.029369212962962937,1.3844696969696968
"frozenset({'SibSp', 'Survived'})",frozenset({'Embarked'}),0.2222222222222222,1.0,0.2222222222222222,1.0,1.0,0.0,inf
frozenset({'SibSp'}),"frozenset({'Embarked', 'Survived'})",0.2986111111111111,0.6458333333333334,0.2222222222222222,0.7441860465116279,1.1522880720180044,0.029369212962962937,1.3844696969696968
"frozenset({'SibSp', 'classification'})",frozenset({'Survived'}),0.2986111111111111,0.6458333333333334,0.2222222222222222,0.7441860465116279,1.1522880720180044,0.029369212962962937,1.3844696969696968
"frozenset({'SibSp', 'Survived'})",frozenset({'classification'}),0.2222222222222222,1.0,0.2222222222222222,1.0,1.0,0.0,inf
frozenset({'SibSp'}),"frozenset({'classification', 'Survived'})",0.2986111111111111,0.6458333333333334,0.2222222222222222,0.7441860465116279,1.1522880720180044,0.029369212962962937,1.3844696969696968
"frozenset({'Parch', 'Fare'})",frozenset({'Survived'}),0.2708333333333333,0.6458333333333334,0.1875,0.6923076923076924,1.0719602977667495,0.012586805555555552,1.151041666666667
"frozenset({'Parch', 'Survived'})",frozenset({'Fare'}),0.1875,0.9861111111111112,0.1875,1.0,1.0140845070422535,0.0026041666666666574,inf
frozenset({'Parch'}),"frozenset({'Fare', 'Survived'})",0.2708333333333333,0.6458333333333334,0.1875,0.6923076923076924,1.0719602977667495,0.012586805555555552,1.151041666666667
"frozenset({'Embarked', 'Parch'})",frozenset({'Survived'}),0.2708333333333333,0.6458333333333334,0.1875,0.6923076923076924,1.0719602977667495,0.012586805555555552,1.151041666666667
"frozenset({'Parch', 'Survived'})",frozenset({'Embarked'}),0.1875,1.0,0.1875,1.0,1.0,0.0,inf
frozenset({'Parch'}),"frozenset({'Embarked', 'Survived'})",0.2708333333333333,0.6458333333333334,0.1875,0.6923076923076924,1.0719602977667495,0.012586805555555552,1.151041666666667
"frozenset({'classification', 'Parch'})",frozenset({'Survived'}),0.2708333333333333,0.6458333333333334,0.1875,0.6923076923076924,1.0719602977667495,0.012586805555555552,1.151041666666667
"frozenset({'Parch', 'Survived'})",frozenset({'classification'}),0.1875,1.0,0.1875,1.0,1.0,0.0,inf
frozenset({'Parch'}),"frozenset({'classification', 'Survived'})",0.2708333333333333,0.6458333333333334,0.1875,0.6923076923076924,1.0719602977667495,0.012586805555555552,1.151041666666667
"frozenset({'Embarked', 'Fare'})",frozenset({'Survived'}),0.9861111111111112,0.6458333333333334,0.6458333333333334,0.6549295774647887,1.0140845070422535,0.00896990740740733,1.026360544217687
"frozenset({'Embarked', 'Survived'})",frozenset({'Fare'}),0.6458333333333334,0.9861111111111112,0.6458333333333334,1.0,1.0140845070422535,0.00896990740740733,inf
"frozenset({'Fare', 'Survived'})",frozenset({'Embarked'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
frozenset({'Embarked'}),"frozenset({'Fare', 'Survived'})",1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'Fare'}),"frozenset({'Embarked', 'Survived'})",0.9861111111111112,0.6458333333333334,0.6458333333333334,0.6549295774647887,1.0140845070422535,0.00896990740740733,1.026360544217687
frozenset({'Survived'}),"frozenset({'Embarked', 'Fare'})",0.6458333333333334,0.9861111111111112,0.6458333333333334,1.0,1.0140845070422535,0.00896990740740733,inf
"frozenset({'classification', 'Fare'})",frozenset({'Survived'}),0.9861111111111112,0.6458333333333334,0.6458333333333334,0.6549295774647887,1.0140845070422535,0.00896990740740733,1.026360544217687
"frozenset({'classification', 'Survived'})",frozenset({'Fare'}),0.6458333333333334,0.9861111111111112,0.6458333333333334,1.0,1.0140845070422535,0.00896990740740733,inf
"frozenset({'Fare', 'Survived'})",frozenset({'classification'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
frozenset({'classification'}),"frozenset({'Fare', 'Survived'})",1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'Fare'}),"frozenset({'classification', 'Survived'})",0.9861111111111112,0.6458333333333334,0.6458333333333334,0.6549295774647887,1.0140845070422535,0.00896990740740733,1.026360544217687
frozenset({'Survived'}),"frozenset({'classification', 'Fare'})",0.6458333333333334,0.9861111111111112,0.6458333333333334,1.0,1.0140845070422535,0.00896990740740733,inf
"frozenset({'Embarked', 'classification'})",frozenset({'Survived'}),1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
"frozenset({'Embarked', 'Survived'})",frozenset({'classification'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
"frozenset({'classification', 'Survived'})",frozenset({'Embarked'}),0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
frozenset({'Embarked'}),"frozenset({'classification', 'Survived'})",1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'classification'}),"frozenset({'Embarked', 'Survived'})",1.0,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.0,0.0,1.0
frozenset({'Survived'}),"frozenset({'Embarked', 'classification'})",0.6458333333333334,1.0,0.6458333333333334,1.0,1.0,0.0,inf
"frozenset({'Sex', 'Pclass'})",frozenset({'Age'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
"frozenset({'Sex', 'Age'})",frozenset({'Pclass'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
"frozenset({'Age', 'Pclass'})",frozenset({'Sex'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
frozenset({'Sex'}),"frozenset({'Age', 'Pclass'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
frozenset({'Pclass'}),"frozenset({'Sex', 'Age'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
frozenset({'Age'}),"frozenset({'Sex', 'Pclass'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
"frozenset({'SibSp', 'Sex'})",frozenset({'Pclass'}),0.2986111111111111,1.0,0.2986111111111111,1.0,1.0,0.0,inf
"frozenset({'SibSp', 'Pclass'})",frozenset({'Sex'}),0.2986111111111111,1.0,0.2986111111111111,1.0,1.0,0.0,inf
frozenset({'SibSp'}),"frozenset({'Sex', 'Pclass'})",0.2986111111111111,1.0,0.2986111111111111,1.0,1.0,0.0,inf
"frozenset({'Parch', 'Sex'})",frozenset({'Pclass'}),0.2708333333333333,1.0,0.2708333333333333,1.0,1.0,0.0,inf
"frozenset({'Parch', 'Pclass'})",frozenset({'Sex'}),0.2708333333333333,1.0,0.2708333333333333,1.0,1.0,0.0,inf
frozenset({'Parch'}),"frozenset({'Sex', 'Pclass'})",0.2708333333333333,1.0,0.2708333333333333,1.0,1.0,0.0,inf
